! Data file for `MIS40520_ABM_AS3_16202781_16203177.mos'
! Reduced Stigler model with 1944 reduced data set as per his paper
! Notes:
!	Can only have one set of square brackets [ ]
! 	New line in this file represents new row in array
! 	Can handle commas, tabs or spaces between entries
! 	String can be quoted or not. Need quotes if there is a space in the string

! Modelling Parameters
!	nutrient_requirement: Do we want to meet or exceed the nutrient requirement (exact, minimum) 
! 	no_days: How many days to calculate
!	no_foods: Number of foods in the array
!	no_requirements: Number of nutrient requirements

nutrient_requirement: minimum
no_days: 365
no_foods: 15
no_requirements: 9

! Input data

! Recommended daily allowance/requirements for a moderately active man
requirement : [3.0, 70.0, 0.8, 12.0, 5.0, 1.8, 2.7, 18.0, 75.0]

requirement_names: [Calories, Protein, Calcium, Iron, VitaminA, VitaminB1, VitaminB2, Niacian, VitaminC]

commodities : ["Wheat Flour (Enriched)", "10 lb.",
	"Wheat Cereal", "28 oz.",
	"Corn Meal", "1 lb.",
	"Rolled Oats", "1 lb.",
	"Evaporated Milk", "14.5 oz.",
	"Cabbage", "1 lb.",
	"Potatoes", "15 lb.",
	"Spinach", "1 lb.",
	"Sweet Potatoes", "1 lb.",
	"Navy Beans", "1 lb.",
	"Sugar", "10 lb.",
	"Pancake Flour", "20 oz",
	"Beets", "1 bunch",
	"Liver (Pork)", "1 lb",]	
! Names for the data matrix: [Price, Weight, Calories, Protein, Calcium, Iron, VitaminA, VitaminB1, VitaminB2, Niacian, VitaminC]
! Calories are x1000
! Weight means edible weight per $1 and is used to calculate weight in the model
data : [64.6, 7022, 24.9, 786.0, 1.1, 203.0, 0.0, 30.9, 18.6, 246.0, 0.0, 
	23.2, 3421, 12.3, 398, 15.0, 183.0, 0.0, 15.0, 9.2, 119.0, 0.0,
	6.3, 7200, 26.3, 655.0, 1.2, 72.0, 22.6, 12.7, 5.8, 77.0, 0.0,
	9.9, 4582, 18.1, 651.0, 3.7, 245.0, 0.0, 26.6, 6.4, 46.0, 0.0,
	10.0, 4043, 5.6, 283.0, 10.1, 6.0, 17.4, 2.0, 15.7, 7.0, 40.0,
	4.9, 6757, 2.0, 94.0, 3.0, 27.0, 5.4, 6.8, 3.4, 20.0, 4054.0,
	80.1, 7135, 6.1, 143.0, 0.8, 50.0, 2.8, 12.5, 3.0, 84.0, 1071.0,
	11.6, 3206, 0.8, 74.0, 0.0, 96.0, 641.3, 4.0, 9.6, 23.0, 1924.0,
	12.3, 3172, 4.0, 57.0, 1.1, 22.0, 120.5, 3.5, 2.2, 34.0, 793.0,
	10.8, 4200, 14.7, 924.0, 6.2, 433, 0.0, 21.0, 13.4, 119.0, 0.0,
	67.0, 6770, 26.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
	12.2, 4647, 16.0, 479.0, 18.1, 46.0, 0.0, 3.7, 1.9, 41.0, 0.0,
	7.3, 3915, 2.2, 85.0, 1.1, 70.0, 132.3, 2.9, 6.8, 29.0, 895.0,
	21.9, 2071, 2.7, 408.0, 0.2, 518.0, 145.0, 10.4, 51.8, 472.0, 580.0,]